tau	"(1,2) 1"	"(1,2) 2"	"(1,2) 3"	"(1,3) 1"	"(1,3) 2"	"(1,3) 3"	"(1,4) 1"	"(1,4) 2"	"(1,4) 3"	"(2,3) 1"	"(2,3) 2"	"(2,3) 3"	"(2,4) 1"	"(2,4) 2"	"(2,4) 3"	"(3,4) 1"	"(3,4) 2"	"(3,4) 3"
0	0.2254	0.081	0.0181	0.2233	0.0862	0.0178	0.2217	0.0858	0.0204	0.2129	0.0872	0.021	0.2114	0.087	0.0234	0.206	0.0928	0.0229
0.101010101010101	0.2077	0.0826	0.0215	0.2179	0.0914	0.0252	0.2117	0.0921	0.0284	0.2101	0.0909	0.0254	0.2044	0.0961	0.0276	0.2026	0.0985	0.031
0.202020202020202	0.1929	0.0961	0.0271	0.2075	0.1046	0.0284	0.1955	0.1074	0.0332	0.2004	0.1094	0.0281	0.1965	0.1127	0.0341	0.1915	0.1135	0.0334
0.303030303030303	0.1939	0.0923	0.0272	0.2071	0.1033	0.0294	0.1975	0.1019	0.0338	0.1961	0.105	0.0304	0.1944	0.1054	0.0363	0.1879	0.112	0.033
0.404040404040404	0.1939	0.1009	0.0293	0.21	0.1108	0.032	0.1911	0.1091	0.0371	0.2004	0.1133	0.0327	0.1869	0.1121	0.0409	0.1922	0.1157	0.0393
0.505050505050505	0.1854	0.1074	0.0317	0.2	0.1168	0.0362	0.1832	0.1147	0.041	0.1834	0.1167	0.0349	0.1771	0.1195	0.0404	0.1755	0.1236	0.0422
0.606060606060606	0.1913	0.101	0.0364	0.2028	0.1127	0.0405	0.1828	0.1159	0.0477	0.1932	0.1144	0.0401	0.1793	0.1199	0.0482	0.182	0.126	0.0494
0.707070707070707	0.1839	0.1026	0.0347	0.1955	0.1141	0.0402	0.1741	0.1164	0.0452	0.1803	0.115	0.0394	0.167	0.1208	0.0463	0.1733	0.1233	0.0489
0.808080808080808	0.1778	0.1053	0.0332	0.1903	0.1161	0.0386	0.1615	0.1224	0.0486	0.1805	0.1169	0.0372	0.1648	0.1232	0.0475	0.1706	0.1299	0.0485
0.909090909090909	0.1786	0.1153	0.041	0.1859	0.1269	0.0467	0.1604	0.1271	0.0529	0.1759	0.1243	0.0433	0.1596	0.1282	0.0515	0.1644	0.1343	0.0548
1.01010101010101	0.1736	0.1129	0.0417	0.1822	0.1231	0.0472	0.154	0.1259	0.0571	0.167	0.1192	0.0433	0.1506	0.1279	0.0547	0.1536	0.1311	0.0571
1.11111111111111	0.1741	0.1154	0.0421	0.1775	0.1253	0.0466	0.1497	0.1293	0.0538	0.1627	0.1221	0.0462	0.1505	0.1292	0.0569	0.1563	0.135	0.0566
1.21212121212121	0.1654	0.1175	0.0428	0.1679	0.1306	0.0457	0.1416	0.1294	0.0584	0.1554	0.1307	0.0456	0.1382	0.1342	0.0583	0.1441	0.142	0.0588
1.31313131313131	0.1618	0.118	0.0477	0.1691	0.1287	0.0517	0.1375	0.1333	0.0652	0.159	0.1262	0.0505	0.1374	0.1328	0.0647	0.1449	0.1384	0.0656
1.41414141414141	0.1626	0.1155	0.0468	0.1615	0.1275	0.0491	0.1348	0.1313	0.0635	0.1503	0.1236	0.0504	0.1346	0.133	0.0645	0.1413	0.1356	0.0628
1.51515151515152	0.1633	0.122	0.0479	0.1635	0.1289	0.0515	0.1331	0.1339	0.0619	0.1543	0.1271	0.0516	0.1326	0.1363	0.0662	0.1387	0.1367	0.0638
1.61616161616162	0.1525	0.1287	0.0507	0.1574	0.1371	0.0533	0.1235	0.1396	0.0684	0.1512	0.1368	0.0513	0.1258	0.1426	0.0682	0.13	0.1453	0.0694
1.71717171717172	0.1508	0.1251	0.0535	0.1537	0.1329	0.0561	0.1215	0.1355	0.072	0.1443	0.1322	0.0573	0.1187	0.1373	0.0733	0.128	0.1387	0.0733
1.81818181818182	0.152	0.1191	0.049	0.1499	0.1289	0.0526	0.1195	0.1324	0.0643	0.1447	0.1265	0.0526	0.1218	0.1371	0.067	0.1265	0.1392	0.0663
1.91919191919192	0.1619	0.1253	0.052	0.1576	0.1381	0.0583	0.1234	0.139	0.0749	0.1476	0.1345	0.057	0.1231	0.1406	0.0747	0.1266	0.1459	0.0756
2.02020202020202	0.1559	0.1245	0.0514	0.1529	0.1319	0.0572	0.1179	0.1405	0.0707	0.1454	0.1309	0.0537	0.1143	0.1408	0.069	0.122	0.1392	0.0705
2.12121212121212	0.1489	0.1209	0.0536	0.1496	0.1244	0.0581	0.1167	0.1347	0.0723	0.1395	0.1264	0.0571	0.1182	0.1369	0.075	0.1235	0.1366	0.0763
2.22222222222222	0.1518	0.1259	0.052	0.144	0.1334	0.0554	0.1196	0.1437	0.0715	0.1418	0.1329	0.0564	0.1193	0.1415	0.0734	0.1214	0.1409	0.0736
2.32323232323232	0.1535	0.1244	0.0506	0.145	0.1337	0.0528	0.1189	0.1389	0.0709	0.1421	0.1335	0.0523	0.1171	0.1434	0.0727	0.1211	0.1438	0.0709
2.42424242424242	0.1548	0.1274	0.0532	0.1484	0.1371	0.0598	0.1144	0.1458	0.0729	0.1434	0.1348	0.0599	0.112	0.141	0.0748	0.1138	0.1489	0.0771
2.52525252525253	0.145	0.1232	0.051	0.1419	0.1327	0.0556	0.1087	0.1381	0.0749	0.1362	0.1306	0.0548	0.1093	0.1402	0.0719	0.1142	0.1411	0.0748
2.62626262626263	0.1518	0.129	0.0548	0.1406	0.1418	0.0551	0.1127	0.1483	0.0759	0.1391	0.1385	0.0552	0.1095	0.1481	0.0757	0.1138	0.1542	0.074
2.72727272727273	0.1483	0.1237	0.0558	0.1463	0.1334	0.0563	0.1151	0.1456	0.0744	0.1381	0.1272	0.057	0.1123	0.1382	0.0766	0.1152	0.1392	0.0768
2.82828282828283	0.1439	0.1276	0.05	0.1305	0.1372	0.0525	0.1028	0.1392	0.0693	0.134	0.1333	0.0555	0.1041	0.1399	0.0705	0.1085	0.143	0.0709
2.92929292929293	0.143	0.1291	0.0574	0.1505	0.1365	0.0595	0.1091	0.1417	0.0792	0.1372	0.1408	0.0575	0.108	0.1472	0.0797	0.1124	0.1485	0.0774
3.03030303030303	0.1482	0.1251	0.0506	0.1436	0.1353	0.0528	0.1103	0.1434	0.0699	0.1352	0.1314	0.0521	0.109	0.14	0.0727	0.1149	0.1406	0.0705
3.13131313131313	0.1504	0.1301	0.0547	0.1394	0.1365	0.0572	0.1084	0.1453	0.0766	0.1375	0.1404	0.0567	0.1081	0.1497	0.0757	0.1092	0.1468	0.0784
3.23232323232323	0.1438	0.1239	0.0607	0.1362	0.1357	0.0649	0.1071	0.1389	0.0828	0.1315	0.1366	0.0665	0.1068	0.1425	0.0829	0.1071	0.1422	0.0842
3.33333333333333	0.1435	0.127	0.059	0.1393	0.1335	0.0623	0.1045	0.1371	0.0833	0.1378	0.1367	0.0614	0.1021	0.143	0.0805	0.1088	0.1404	0.0824
3.43434343434343	0.1481	0.1272	0.058	0.1416	0.138	0.0629	0.1041	0.1478	0.0799	0.1344	0.1386	0.0624	0.108	0.148	0.0805	0.1091	0.1512	0.0815
3.53535353535354	0.1388	0.1204	0.0579	0.1341	0.1248	0.06	0.1014	0.1353	0.0801	0.1306	0.1309	0.0614	0.1031	0.139	0.0808	0.1034	0.1355	0.0773
3.63636363636364	0.1476	0.128	0.0534	0.1423	0.1374	0.057	0.1125	0.1442	0.0737	0.134	0.134	0.0576	0.1077	0.1443	0.076	0.1104	0.1455	0.0762
3.73737373737374	0.1491	0.125	0.0559	0.1416	0.1333	0.0628	0.1101	0.1451	0.0792	0.1336	0.1337	0.0601	0.1059	0.1469	0.0777	0.1084	0.1456	0.0822
3.83838383838384	0.1513	0.1303	0.0576	0.1392	0.1406	0.0586	0.1044	0.1464	0.0808	0.1321	0.1356	0.0614	0.1038	0.1433	0.0828	0.1073	0.1483	0.0806
3.93939393939394	0.1448	0.1272	0.0606	0.1288	0.1352	0.0637	0.1071	0.1491	0.0843	0.1349	0.1323	0.0609	0.1089	0.1453	0.0809	0.1082	0.1438	0.0854
4.04040404040404	0.1409	0.1274	0.0555	0.1349	0.1314	0.06	0.1022	0.1442	0.077	0.1343	0.1346	0.0586	0.1045	0.1442	0.077	0.1042	0.1423	0.0793
4.14141414141414	0.1416	0.1273	0.0591	0.1314	0.1326	0.0633	0.0998	0.1405	0.0837	0.1326	0.1312	0.0626	0.1052	0.1446	0.0811	0.1053	0.1362	0.0822
4.24242424242424	0.1409	0.1238	0.0594	0.1349	0.1356	0.0643	0.1059	0.1389	0.0803	0.1309	0.1332	0.0622	0.105	0.1391	0.0807	0.1072	0.1438	0.0816
4.34343434343434	0.1452	0.1265	0.0593	0.1351	0.1359	0.0607	0.1089	0.1443	0.0819	0.1316	0.1328	0.0627	0.1055	0.1426	0.084	0.1059	0.1428	0.0804
4.44444444444444	0.1421	0.1278	0.0589	0.1328	0.1356	0.0613	0.104	0.1416	0.078	0.1322	0.134	0.063	0.1041	0.1467	0.0792	0.1029	0.1414	0.0794
4.54545454545454	0.1485	0.1224	0.0578	0.1343	0.1306	0.0623	0.1053	0.1392	0.0817	0.1355	0.1299	0.0592	0.1084	0.1401	0.0803	0.105	0.1382	0.0805
