tau	"(1,2) 1"	"(1,2) 2"	"(1,2) 3"	"(1,3) 1"	"(1,3) 2"	"(1,3) 3"	"(1,4) 1"	"(1,4) 2"	"(1,4) 3"	"(2,3) 1"	"(2,3) 2"	"(2,3) 3"	"(2,4) 1"	"(2,4) 2"	"(2,4) 3"	"(3,4) 1"	"(3,4) 2"	"(3,4) 3"
0	0.336230672795654	0.164501312335958	0.0536577505639704	0.33742861122719	0.161548556430446	0.0526909442475024	0.335269536147096	0.162051618547682	0.0532817703297884	0.288313135534197	0.211942257217848	0.121978730261038	0.286098342387519	0.213757655293088	0.123482651197766	0.275149742303942	0.213188976377953	0.159469330755183
0.101010101010101	0.334314368208891	0.16185034371032	0.0589957936212129	0.340437699635948	0.162616576907921	0.0573984345881476	0.343213423904705	0.165878541091992	0.0565997550716149	0.288005802519074	0.203205044003678	0.116926681220382	0.291116287503661	0.205065896054994	0.113465736648741	0.282747269607912	0.203664783922238	0.141951972738406
0.202020202020202	0.335952876146341	0.1634710200504	0.0560008607240841	0.346184447453274	0.165267886490632	0.0554629081714993	0.353554528831256	0.168226142215405	0.0573995373608048	0.290113203333287	0.194894269749096	0.106568400667061	0.294258874108402	0.195968007012162	0.106299424390769	0.287405256766377	0.191979840035061	0.123352520307709
0.303030303030303	0.335872218734742	0.166287663445139	0.0540050162762154	0.352416823603264	0.168671010626667	0.0525641709803084	0.364385854781335	0.17341583941925	0.0539516516356262	0.290981376857083	0.191367472777365	0.0985111265275628	0.298346934505127	0.196024839288057	0.0986178558087411	0.294440956964497	0.182315126601653	0.109077325364214
0.404040404040404	0.336288358499756	0.165348170042598	0.0571898023003127	0.358291002713799	0.171498739459271	0.0559707425663858	0.373919699394614	0.172281144049378	0.0562357555520221	0.293382506436574	0.182365469877423	0.0950336566491758	0.3028042585763	0.186407893592976	0.0943976254836487	0.301092477906896	0.173085282100322	0.0959877033974665
0.505050505050505	0.335023189092074	0.165536932499292	0.0535051437055891	0.362822244815532	0.171857631699396	0.0557853430904656	0.38198632331026	0.170985811120071	0.0547778131297062	0.293324605506887	0.175126958871864	0.0871778555520204	0.305121098591942	0.175889801878773	0.0868066603033195	0.308143340621997	0.164316383688237	0.0900413617562838
0.606060606060606	0.334396463692699	0.166131656479486	0.0541620067103371	0.36622043168688	0.173211380326283	0.0566118123235874	0.387818764250843	0.173497207686557	0.0526175640411141	0.295494285674318	0.167758673761048	0.0761570005858231	0.309021220641515	0.171936150565059	0.0786068061990733	0.314770517716508	0.159601600633218	0.0754114075730947
0.707070707070707	0.338698878535959	0.162724547622694	0.0541423445616666	0.375439379568153	0.171126621884778	0.0519466609543191	0.399654075768566	0.175940310264096	0.0563380281690141	0.301135412598337	0.160339583834759	0.0749210089433942	0.316478826089382	0.163709165700282	0.0767418197397312	0.324596886681917	0.152812725641643	0.0704225352112676
0.808080808080808	0.337232620320856	0.168632333027563	0.0542024196557054	0.382088346702317	0.174616695059625	0.0548952726109897	0.403450868983957	0.17730310575285	0.0566540531897884	0.301763034759358	0.156357838640633	0.0684858498107978	0.314839572192513	0.16304110426768	0.0680594787613921	0.332191399286988	0.148691739833137	0.0642754356979161
0.909090909090909	0.336074943541417	0.163536537539762	0.0549759017001218	0.379792009367943	0.173449823521722	0.0534399661034903	0.405860540329551	0.178003398840908	0.0542873788464594	0.299815986840271	0.151117695760164	0.0608548276044701	0.316488694342989	0.155693058521068	0.0616492770510037	0.333342626927259	0.145278661379581	0.055452571368042
