tau	"(1,2) 1"	"(1,2) 2"	"(1,2) 3"	"(1,3) 1"	"(1,3) 2"	"(1,3) 3"	"(1,4) 1"	"(1,4) 2"	"(1,4) 3"	"(2,3) 1"	"(2,3) 2"	"(2,3) 3"	"(2,4) 1"	"(2,4) 2"	"(2,4) 3"	"(3,4) 1"	"(3,4) 2"	"(3,4) 3"
0	0.2447	0.0754	0.0092	0.243	0.0776	0.0102	0.2438	0.0748	0.0087	0.2044	0.1008	0.0246	0.2036	0.1031	0.021	0.1989	0.1019	0.0285
0.101010101010101	0.2354	0.0712	0.0086	0.2513	0.0792	0.009	0.2289	0.073	0.0098	0.2085	0.0958	0.0211	0.1988	0.0948	0.0233	0.1961	0.0993	0.029
0.202020202020202	0.232	0.0672	0.0089	0.2638	0.0714	0.009	0.2365	0.0666	0.0102	0.2119	0.0951	0.0225	0.1966	0.0926	0.0256	0.2092	0.0942	0.0282
0.303030303030303	0.2347	0.0719	0.0074	0.2776	0.079	0.0071	0.2339	0.0717	0.0083	0.2196	0.0954	0.0187	0.1896	0.094	0.0218	0.2117	0.1	0.0269
0.404040404040404	0.2376	0.07	0.0102	0.2833	0.0821	0.0103	0.2385	0.0722	0.0096	0.2261	0.0956	0.023	0.1967	0.0918	0.0264	0.215	0.0967	0.0331
0.505050505050505	0.2477	0.068	0.008	0.2894	0.0831	0.0093	0.2434	0.0691	0.0092	0.2326	0.0895	0.0228	0.2069	0.0853	0.023	0.2217	0.0919	0.0311
0.606060606060606	0.2306	0.067	0.0089	0.2826	0.0754	0.0081	0.2258	0.0668	0.009	0.2277	0.0916	0.0187	0.1912	0.0902	0.0231	0.2102	0.092	0.0279
0.707070707070707	0.2326	0.0704	0.0083	0.2911	0.0806	0.0085	0.2394	0.0685	0.0078	0.2307	0.0952	0.021	0.2002	0.0875	0.0204	0.2253	0.0944	0.0258
0.808080808080808	0.2365	0.0686	0.0087	0.2895	0.0789	0.009	0.2412	0.0683	0.0087	0.2291	0.0924	0.0207	0.2004	0.0856	0.0253	0.2294	0.0915	0.0284
0.909090909090909	0.2388	0.0682	0.0079	0.2937	0.0809	0.0093	0.2422	0.0718	0.0084	0.2325	0.0933	0.0201	0.1953	0.0906	0.0223	0.2232	0.1018	0.0277
1.01010101010101	0.2355	0.0689	0.008	0.2939	0.0824	0.0086	0.2361	0.0687	0.0071	0.2288	0.0904	0.0203	0.195	0.0841	0.0222	0.221	0.0948	0.025
1.11111111111111	0.2421	0.0711	0.0097	0.2973	0.078	0.0098	0.2404	0.0699	0.0094	0.2348	0.0918	0.0209	0.1976	0.0877	0.0219	0.2191	0.0947	0.0271
1.21212121212121	0.2329	0.0633	0.0078	0.2943	0.0752	0.0077	0.2381	0.0637	0.0072	0.2294	0.0871	0.0184	0.1968	0.0852	0.0196	0.2229	0.0898	0.0252
1.31313131313131	0.2346	0.0671	0.0084	0.2879	0.082	0.0094	0.235	0.0696	0.0087	0.2269	0.0917	0.0211	0.197	0.0841	0.022	0.2208	0.092	0.0312
1.41414141414141	0.2429	0.0733	0.0078	0.2924	0.0836	0.0079	0.2355	0.0711	0.008	0.237	0.0923	0.018	0.1971	0.0903	0.0207	0.2194	0.0963	0.0226
1.51515151515152	0.2336	0.0642	0.0075	0.2866	0.0725	0.0072	0.231	0.0637	0.0064	0.2317	0.0858	0.0163	0.1923	0.0845	0.018	0.2219	0.0869	0.0252
1.61616161616162	0.241	0.072	0.0073	0.299	0.0824	0.0081	0.2399	0.0703	0.0084	0.2397	0.095	0.0194	0.2034	0.0901	0.0213	0.2272	0.0954	0.0282
