tau	"(1,2) 1"	"(1,2) 2"	"(1,2) 3"	"(1,3) 1"	"(1,3) 2"	"(1,3) 3"	"(1,4) 1"	"(1,4) 2"	"(1,4) 3"	"(2,3) 1"	"(2,3) 2"	"(2,3) 3"	"(2,4) 1"	"(2,4) 2"	"(2,4) 3"	"(3,4) 1"	"(3,4) 2"	"(3,4) 3"
0	0.3174	0.1284	0.0407	0.3196	0.1341	0.0367	0.3198	0.1321	0.0391	0.2584	0.1519	0.0643	0.2588	0.1487	0.0633	0.2546	0.1507	0.0676
0.101010101010101	0.3154	0.1317	0.0411	0.3196	0.1288	0.0392	0.3261	0.1287	0.0432	0.2553	0.1389	0.0588	0.2612	0.1416	0.0631	0.2539	0.1387	0.0621
0.202020202020202	0.3063	0.1326	0.043	0.3057	0.132	0.0448	0.3065	0.137	0.0412	0.2493	0.1416	0.0644	0.2503	0.1473	0.0625	0.2443	0.1454	0.0672
0.303030303030303	0.3115	0.1326	0.0422	0.3174	0.1296	0.042	0.3146	0.1268	0.0442	0.2544	0.1424	0.0624	0.2533	0.1426	0.0633	0.251	0.1379	0.0736
0.404040404040404	0.3178	0.1332	0.0395	0.3262	0.1316	0.0408	0.3131	0.1293	0.039	0.265	0.1446	0.0626	0.2593	0.1509	0.0636	0.2566	0.1482	0.0709
0.505050505050505	0.3212	0.1356	0.043	0.3242	0.1386	0.0409	0.3154	0.1351	0.0435	0.2603	0.1427	0.0647	0.2574	0.1421	0.0636	0.2558	0.1462	0.0701
0.606060606060606	0.3166	0.1331	0.0405	0.3188	0.1327	0.0442	0.3106	0.1304	0.0419	0.2605	0.1386	0.057	0.26	0.1434	0.0606	0.2578	0.1461	0.0672
0.707070707070707	0.3129	0.1344	0.0409	0.315	0.1339	0.0396	0.3159	0.1351	0.0403	0.2585	0.1404	0.0579	0.2574	0.1428	0.0631	0.2542	0.1503	0.0701
0.808080808080808	0.3153	0.1312	0.0379	0.3245	0.1346	0.0394	0.313	0.1338	0.0395	0.26	0.1412	0.0563	0.2551	0.1441	0.0574	0.2561	0.1493	0.0666
0.909090909090909	0.3095	0.1327	0.0421	0.3207	0.1355	0.0432	0.3063	0.1293	0.0436	0.2544	0.1403	0.0582	0.2468	0.1439	0.0615	0.2494	0.1506	0.0709
1.01010101010101	0.3204	0.1306	0.043	0.3244	0.1306	0.0438	0.3105	0.1266	0.0405	0.2644	0.1385	0.0596	0.2552	0.142	0.0627	0.2521	0.1441	0.0706
1.11111111111111	0.3232	0.1336	0.0419	0.3268	0.1332	0.0429	0.3102	0.1336	0.042	0.2593	0.1397	0.0566	0.2524	0.1478	0.0638	0.2568	0.1546	0.0755
1.21212121212121	0.3122	0.13	0.0431	0.3257	0.1362	0.0414	0.3053	0.1311	0.0408	0.2626	0.136	0.0574	0.2536	0.1373	0.0609	0.2602	0.1485	0.0748
1.31313131313131	0.3142	0.1338	0.0404	0.3299	0.1335	0.0399	0.3125	0.1307	0.0381	0.262	0.1327	0.0564	0.2502	0.1389	0.0612	0.26	0.1481	0.0755
1.41414141414141	0.3239	0.1358	0.0445	0.3407	0.1373	0.043	0.3182	0.1341	0.0417	0.2723	0.136	0.0583	0.2619	0.1396	0.06	0.2684	0.1479	0.0723
1.51515151515152	0.3167	0.1322	0.0409	0.3321	0.1433	0.0412	0.3149	0.1335	0.0397	0.2602	0.1343	0.0549	0.2504	0.1379	0.0594	0.2625	0.153	0.0734
1.61616161616162	0.321	0.1286	0.0412	0.3407	0.1381	0.04	0.3182	0.1324	0.0409	0.2736	0.1337	0.052	0.2641	0.1377	0.0561	0.272	0.1537	0.0734
1.71717171717172	0.3174	0.129	0.0391	0.3371	0.1434	0.0423	0.3113	0.1336	0.0372	0.2615	0.1373	0.0538	0.249	0.1401	0.0578	0.2592	0.157	0.0743
1.81818181818182	0.3098	0.1247	0.0398	0.3318	0.1342	0.0394	0.3048	0.1276	0.0397	0.2653	0.1289	0.0512	0.2532	0.1331	0.0571	0.2637	0.1537	0.0721
1.91919191919192	0.309	0.1319	0.0403	0.3311	0.1403	0.0417	0.3068	0.1309	0.0383	0.2593	0.1281	0.0509	0.2487	0.1355	0.057	0.265	0.1524	0.0745
2.02020202020202	0.309	0.1301	0.0415	0.3389	0.1434	0.0433	0.3122	0.1351	0.0405	0.2584	0.1296	0.05	0.253	0.1365	0.0556	0.2744	0.1579	0.0721
2.12121212121212	0.3148	0.1301	0.0426	0.3393	0.1416	0.0424	0.3125	0.1287	0.0429	0.271	0.1287	0.0536	0.2533	0.1293	0.0617	0.2742	0.1524	0.0789
2.22222222222222	0.3119	0.1346	0.0394	0.3435	0.1403	0.0444	0.3142	0.1306	0.0399	0.2671	0.1281	0.0523	0.2449	0.1331	0.0559	0.272	0.1522	0.076
2.32323232323232	0.3148	0.1294	0.0398	0.3457	0.1369	0.0397	0.3155	0.1307	0.0406	0.2645	0.1242	0.0451	0.2486	0.132	0.0535	0.2727	0.1555	0.0749
2.42424242424242	0.3172	0.1311	0.0375	0.3467	0.1361	0.0421	0.3141	0.1322	0.0414	0.2712	0.1216	0.0491	0.2496	0.1338	0.0567	0.2713	0.1509	0.0792
2.52525252525253	0.3205	0.1362	0.045	0.3532	0.1417	0.0447	0.3132	0.1343	0.0424	0.2766	0.1293	0.0474	0.2517	0.1352	0.0535	0.276	0.1633	0.0763
2.62626262626263	0.3137	0.1316	0.0425	0.3466	0.1402	0.0429	0.3158	0.1275	0.0398	0.2625	0.1267	0.0468	0.2469	0.1265	0.0549	0.2725	0.1535	0.0772
2.72727272727273	0.3165	0.1309	0.0389	0.3507	0.1395	0.0414	0.3144	0.1325	0.0422	0.2673	0.1269	0.0456	0.2463	0.1336	0.0534	0.2706	0.1569	0.0758
2.82828282828283	0.3151	0.1291	0.0363	0.3514	0.1364	0.0401	0.3154	0.1267	0.038	0.2745	0.1189	0.0444	0.2489	0.1273	0.0544	0.2804	0.1528	0.0765
2.92929292929293	0.318	0.1316	0.042	0.3536	0.1463	0.0443	0.3226	0.1344	0.0418	0.2676	0.1207	0.0469	0.2545	0.1266	0.0544	0.286	0.159	0.0782
3.03030303030303	0.3179	0.1318	0.0404	0.3533	0.144	0.0417	0.3155	0.1301	0.039	0.2697	0.123	0.0459	0.2472	0.1246	0.0524	0.28	0.16	0.0765
3.13131313131313	0.3147	0.1305	0.0412	0.352	0.1448	0.0421	0.3089	0.1312	0.0393	0.2648	0.1233	0.0442	0.246	0.1292	0.0493	0.2802	0.1612	0.081
3.23232323232323	0.3192	0.1323	0.0396	0.3542	0.1415	0.0393	0.3189	0.1313	0.0361	0.2725	0.1237	0.0412	0.2532	0.1284	0.0474	0.2866	0.1641	0.0764
3.33333333333333	0.3107	0.1329	0.0425	0.3611	0.1383	0.0459	0.3184	0.1274	0.0403	0.2675	0.119	0.0465	0.2451	0.1224	0.0528	0.2868	0.1498	0.0792
3.43434343434343	0.3098	0.1363	0.0379	0.3564	0.1453	0.0418	0.3107	0.1315	0.0406	0.2697	0.1246	0.0426	0.2435	0.1313	0.0481	0.2872	0.1577	0.0781
3.53535353535354	0.3081	0.1294	0.0408	0.3661	0.1465	0.042	0.3139	0.1328	0.0381	0.2668	0.1175	0.0423	0.2409	0.1236	0.0432	0.2854	0.166	0.0794
3.63636363636364	0.3137	0.1307	0.0412	0.3593	0.1435	0.0434	0.319	0.1307	0.0392	0.272	0.1181	0.0429	0.2545	0.1246	0.0482	0.2889	0.1615	0.0773
3.73737373737374	0.322	0.1397	0.0418	0.3679	0.1502	0.0477	0.3131	0.1354	0.0425	0.2769	0.1219	0.0431	0.248	0.1234	0.0473	0.2911	0.1652	0.0863
3.83838383838384	0.3082	0.1285	0.04	0.3632	0.1365	0.0432	0.3165	0.126	0.039	0.2704	0.1123	0.0409	0.2476	0.1168	0.0467	0.2889	0.152	0.0806
3.93939393939394	0.3163	0.1363	0.0404	0.3631	0.1492	0.0433	0.3141	0.133	0.0401	0.2749	0.1217	0.0413	0.2453	0.1201	0.046	0.2914	0.1671	0.0782
4.04040404040404	0.3138	0.1321	0.0429	0.3561	0.1448	0.042	0.3195	0.1295	0.0393	0.2671	0.1202	0.0417	0.2502	0.1185	0.0472	0.2915	0.1631	0.0791
4.14141414141414	0.3172	0.1316	0.0407	0.365	0.148	0.0449	0.3174	0.1258	0.0409	0.2733	0.1187	0.0403	0.2418	0.1174	0.0472	0.2907	0.1617	0.0841
4.24242424242424	0.3089	0.1357	0.0387	0.3601	0.1491	0.0436	0.3217	0.1308	0.0393	0.265	0.1166	0.0387	0.2455	0.1208	0.0447	0.2948	0.1665	0.0834
4.34343434343434	0.3187	0.1308	0.0407	0.3672	0.1449	0.0424	0.3182	0.1312	0.0404	0.2708	0.1102	0.038	0.245	0.1125	0.0455	0.2892	0.1625	0.0827
4.44444444444444	0.3216	0.1273	0.0383	0.3734	0.1433	0.0431	0.3202	0.1329	0.0397	0.2799	0.1119	0.036	0.2476	0.1164	0.0416	0.2974	0.1675	0.0816
4.54545454545454	0.3119	0.1312	0.0419	0.3649	0.1452	0.0421	0.3239	0.1296	0.0378	0.2688	0.1113	0.038	0.2452	0.1153	0.0438	0.3004	0.1639	0.0753
4.64646464646465	0.3084	0.1338	0.0388	0.3542	0.1423	0.0445	0.3112	0.1274	0.0405	0.2719	0.1094	0.0372	0.2439	0.113	0.0408	0.2938	0.1589	0.0797
4.74747474747475	0.3132	0.1305	0.0416	0.3779	0.1482	0.0438	0.3214	0.1312	0.0385	0.2767	0.1132	0.0363	0.2455	0.1159	0.0419	0.3065	0.1653	0.0789
4.84848484848485	0.3166	0.1306	0.0423	0.3712	0.1441	0.0437	0.3219	0.1278	0.038	0.2754	0.1114	0.0371	0.2452	0.1163	0.0426	0.2985	0.167	0.0831
4.94949494949495	0.3183	0.1294	0.0383	0.3665	0.1423	0.041	0.3127	0.1275	0.0373	0.2739	0.1081	0.036	0.2421	0.1118	0.0413	0.2936	0.1661	0.0795
5.05050505050505	0.3125	0.1297	0.0393	0.3683	0.1414	0.0438	0.3183	0.1252	0.039	0.2741	0.1077	0.0361	0.2407	0.1109	0.0416	0.2967	0.1606	0.0825
5.15151515151515	0.3179	0.1294	0.0399	0.3771	0.1507	0.0431	0.3225	0.1334	0.0411	0.2742	0.1126	0.034	0.2432	0.1132	0.0398	0.3029	0.1707	0.0825
5.25252525252525	0.3223	0.1287	0.0404	0.3677	0.1467	0.0446	0.3189	0.1307	0.0394	0.2724	0.1076	0.0366	0.2406	0.1074	0.0411	0.2975	0.1671	0.0846
5.35353535353535	0.3203	0.1317	0.0385	0.371	0.1446	0.0418	0.3169	0.1291	0.0392	0.2828	0.1105	0.035	0.2454	0.111	0.041	0.3031	0.1674	0.0846
5.45454545454545	0.3175	0.1339	0.0418	0.3714	0.1528	0.045	0.3169	0.1325	0.0412	0.2747	0.1104	0.0348	0.2392	0.1078	0.0363	0.3016	0.1681	0.0809
5.55555555555556	0.319	0.1364	0.0398	0.3826	0.1506	0.0433	0.3267	0.1376	0.0374	0.2768	0.1125	0.0339	0.2455	0.1143	0.0389	0.3147	0.1709	0.0791
5.65656565656566	0.3227	0.13	0.0399	0.3787	0.1461	0.042	0.3239	0.1332	0.0383	0.2803	0.1083	0.0351	0.2443	0.1073	0.0391	0.3094	0.1665	0.0839
5.75757575757576	0.3142	0.1269	0.0401	0.3667	0.144	0.041	0.3155	0.1278	0.0367	0.2784	0.1051	0.0325	0.2479	0.1056	0.0341	0.302	0.1609	0.0795
5.85858585858586	0.3124	0.1272	0.0421	0.3737	0.142	0.0457	0.3241	0.129	0.0412	0.2772	0.1045	0.0356	0.2481	0.1066	0.0377	0.3118	0.1654	0.0875
5.95959595959596	0.3215	0.1346	0.041	0.3797	0.1474	0.0441	0.3175	0.1303	0.0405	0.2743	0.1058	0.0361	0.2419	0.1075	0.039	0.304	0.1633	0.0877
