tau	"(1,2) 1"	"(1,2) 2"	"(1,2) 3"	"(1,3) 1"	"(1,3) 2"	"(1,3) 3"	"(1,4) 1"	"(1,4) 2"	"(1,4) 3"	"(2,3) 1"	"(2,3) 2"	"(2,3) 3"	"(2,4) 1"	"(2,4) 2"	"(2,4) 3"	"(3,4) 1"	"(3,4) 2"	"(3,4) 3"
4.24242424242424	0.2413	0.0713	0.0099	0.2764	0.0782	0.0111	0.2392	0.0691	0.0094	0.2183	0.055	0.008	0.1907	0.0554	0.0093	0.2404	0.1104	0.0448
4.34343434343434	0.2364	0.0774	0.0106	0.2829	0.0794	0.0109	0.2481	0.0729	0.0102	0.2173	0.0588	0.0078	0.1932	0.0573	0.009	0.2459	0.1115	0.0466
4.44444444444444	0.2404	0.0781	0.0105	0.2849	0.0826	0.0111	0.2514	0.0759	0.0109	0.2185	0.0573	0.0079	0.1971	0.0565	0.0087	0.2503	0.1135	0.0424
4.54545454545454	0.2383	0.0718	0.0108	0.2805	0.0762	0.0111	0.2494	0.0698	0.0103	0.2151	0.0522	0.0073	0.1939	0.0537	0.0078	0.2446	0.1045	0.0415
4.64646464646465	0.2415	0.0736	0.0087	0.2866	0.0762	0.0106	0.2515	0.0688	0.0091	0.2199	0.0549	0.0073	0.1926	0.0543	0.0085	0.2521	0.1131	0.0424
4.74747474747475	0.2438	0.0699	0.0102	0.2855	0.078	0.0085	0.2532	0.0724	0.0091	0.2248	0.0533	0.0051	0.1983	0.0544	0.0067	0.2526	0.1136	0.0412
4.84848484848485	0.2365	0.0758	0.0101	0.2855	0.0831	0.0114	0.2517	0.0754	0.0101	0.2189	0.0562	0.0069	0.1976	0.055	0.0064	0.255	0.1172	0.0424
4.94949494949495	0.2452	0.0796	0.0115	0.2899	0.079	0.0115	0.2524	0.0708	0.01	0.2233	0.0588	0.0078	0.1985	0.0565	0.0077	0.2497	0.1171	0.0421
5.05050505050505	0.2464	0.0766	0.01	0.2963	0.0809	0.0103	0.2624	0.0724	0.0101	0.2293	0.0547	0.0064	0.2044	0.0556	0.008	0.2615	0.1165	0.0422
5.15151515151515	0.2423	0.0729	0.0088	0.2883	0.0784	0.01	0.2522	0.0708	0.0091	0.218	0.056	0.0065	0.1952	0.0538	0.0074	0.2546	0.1179	0.045
5.25252525252525	0.2439	0.0737	0.0093	0.2866	0.0784	0.0098	0.2572	0.0698	0.009	0.2228	0.0535	0.0066	0.1991	0.0509	0.0071	0.255	0.1126	0.0448
5.35353535353535	0.2393	0.0736	0.0109	0.2849	0.0815	0.0108	0.2534	0.0763	0.01	0.2156	0.0587	0.0075	0.195	0.0581	0.008	0.2496	0.1152	0.0468
5.45454545454545	0.2415	0.0754	0.0095	0.284	0.0812	0.0095	0.2477	0.0717	0.0095	0.2208	0.0559	0.0048	0.1947	0.0529	0.0057	0.247	0.1128	0.0395
5.55555555555556	0.2373	0.0758	0.0106	0.2829	0.0814	0.0093	0.251	0.0711	0.0089	0.2181	0.0568	0.0061	0.1963	0.0541	0.0068	0.2469	0.1114	0.0416
5.65656565656566	0.2416	0.0775	0.0116	0.2833	0.0816	0.0109	0.2489	0.0722	0.0105	0.2193	0.0593	0.0072	0.1918	0.0558	0.0084	0.2462	0.1193	0.0445
5.75757575757576	0.2398	0.0729	0.01	0.278	0.0797	0.0096	0.2471	0.0709	0.0084	0.2184	0.0565	0.006	0.1961	0.0541	0.0064	0.2455	0.1141	0.0428
5.85858585858586	0.2401	0.0754	0.01	0.2885	0.0757	0.0109	0.2527	0.0717	0.0095	0.226	0.0525	0.0069	0.1976	0.0546	0.007	0.2516	0.1126	0.0419
5.95959595959596	0.2433	0.0763	0.0103	0.2875	0.0836	0.0102	0.2534	0.0742	0.0092	0.2246	0.0557	0.0058	0.1991	0.0538	0.0065	0.2531	0.1126	0.0418
6.06060606060606	0.2417	0.0741	0.011	0.2856	0.0792	0.0113	0.2512	0.0703	0.0111	0.223	0.0561	0.0072	0.1984	0.053	0.0083	0.2528	0.1135	0.0477
6.16161616161616	0.2413	0.0766	0.0105	0.285	0.0826	0.0113	0.2487	0.0741	0.0099	0.222	0.0571	0.0068	0.1986	0.0541	0.0073	0.2523	0.114	0.0463
6.26262626262626	0.2367	0.0721	0.0106	0.2816	0.0805	0.0107	0.248	0.0746	0.0099	0.215	0.0541	0.0077	0.194	0.0542	0.0084	0.2479	0.1198	0.0437
6.36363636363636	0.2427	0.0682	0.0097	0.2851	0.0752	0.0101	0.2524	0.0661	0.0091	0.2246	0.0512	0.0071	0.2014	0.049	0.0081	0.2501	0.1119	0.0425
6.46464646464647	0.2372	0.0725	0.0095	0.2839	0.0778	0.01	0.2523	0.07	0.0088	0.2122	0.0529	0.0065	0.1907	0.0515	0.0076	0.2483	0.111	0.0432
6.56565656565657	0.2495	0.0793	0.011	0.2911	0.0841	0.0114	0.2575	0.0731	0.0095	0.2233	0.0593	0.0066	0.1981	0.0531	0.0069	0.2506	0.1119	0.0442
6.66666666666667	0.2454	0.0752	0.0114	0.2833	0.0805	0.0118	0.2494	0.0729	0.0108	0.2221	0.0529	0.0075	0.1956	0.0507	0.008	0.2492	0.1134	0.0417
6.76767676767677	0.2381	0.0736	0.0082	0.2775	0.0827	0.0086	0.2465	0.0711	0.0085	0.2126	0.0554	0.0053	0.1878	0.0522	0.0065	0.245	0.1159	0.0379
6.86868686868687	0.2388	0.0762	0.0094	0.2867	0.0821	0.0097	0.2508	0.0723	0.0091	0.2187	0.0572	0.0058	0.1957	0.0538	0.0062	0.2505	0.1146	0.045
6.96969696969697	0.2378	0.0746	0.0111	0.2917	0.0848	0.0122	0.2561	0.0761	0.0111	0.2158	0.0535	0.0077	0.1934	0.0526	0.0095	0.2537	0.1159	0.0437
7.07070707070707	0.2422	0.0756	0.0109	0.2871	0.0809	0.0114	0.2551	0.072	0.0104	0.2189	0.0532	0.0067	0.1966	0.0525	0.0079	0.2507	0.1113	0.0437
7.17171717171717	0.239	0.0739	0.01	0.2845	0.0783	0.0094	0.2482	0.0701	0.01	0.218	0.0547	0.0061	0.1927	0.0522	0.0074	0.2469	0.113	0.0407
7.27272727272727	0.2446	0.0799	0.0117	0.2851	0.0865	0.012	0.2483	0.0777	0.0112	0.2201	0.062	0.008	0.1921	0.0597	0.0081	0.247	0.1266	0.0441
7.37373737373737	0.2337	0.0763	0.01	0.2795	0.0854	0.0103	0.2505	0.0761	0.0095	0.209	0.0572	0.0057	0.1879	0.0544	0.0072	0.2459	0.1177	0.0401
7.47474747474747	0.2424	0.0711	0.0108	0.2837	0.0791	0.0093	0.2474	0.0721	0.0089	0.2259	0.051	0.0057	0.1951	0.0492	0.0067	0.2487	0.1148	0.0419
7.57575757575758	0.2435	0.0752	0.0104	0.293	0.0817	0.0107	0.2564	0.0762	0.009	0.2246	0.0565	0.0065	0.1986	0.0547	0.006	0.2602	0.1168	0.0418
7.67676767676768	0.244	0.077	0.0098	0.2902	0.0801	0.0107	0.2567	0.0713	0.0096	0.2211	0.0568	0.0067	0.1954	0.0529	0.007	0.2535	0.1169	0.0437
7.77777777777778	0.2476	0.0774	0.0102	0.2843	0.0842	0.012	0.2494	0.0737	0.01	0.2266	0.0563	0.007	0.1972	0.0535	0.0068	0.2487	0.1196	0.0441
