tau	"(1,2) 1"	"(1,2) 2"	"(1,2) 3"	"(1,3) 1"	"(1,3) 2"	"(1,3) 3"	"(1,4) 1"	"(1,4) 2"	"(1,4) 3"	"(2,3) 1"	"(2,3) 2"	"(2,3) 3"	"(2,4) 1"	"(2,4) 2"	"(2,4) 3"	"(3,4) 1"	"(3,4) 2"	"(3,4) 3"
0	0.3147	0.131	0.0401	0.313	0.1344	0.0406	0.3144	0.1305	0.0388	0.2548	0.1477	0.0622	0.2551	0.1454	0.0642	0.2484	0.1422	0.0663
0.101010101010101	0.3095	0.1291	0.0378	0.3067	0.1327	0.0373	0.3089	0.1358	0.037	0.2549	0.1449	0.0616	0.2552	0.1469	0.0613	0.2471	0.1469	0.0647
0.202020202020202	0.3181	0.1371	0.0434	0.3183	0.1309	0.0424	0.3242	0.1332	0.0421	0.2596	0.1478	0.0709	0.2599	0.145	0.0691	0.2511	0.1416	0.0667
0.303030303030303	0.3179	0.133	0.0404	0.3212	0.1319	0.0431	0.317	0.1342	0.0415	0.2639	0.1483	0.0676	0.2586	0.1492	0.0688	0.2568	0.1469	0.0737
0.404040404040404	0.3142	0.1357	0.0399	0.3147	0.1382	0.0405	0.313	0.1364	0.0402	0.2561	0.1488	0.0663	0.2552	0.1507	0.064	0.2465	0.1468	0.066
0.505050505050505	0.3146	0.1318	0.0388	0.3164	0.134	0.0385	0.3154	0.1328	0.04	0.2621	0.1444	0.0637	0.2576	0.1495	0.0627	0.2538	0.1469	0.0663
0.606060606060606	0.3174	0.1333	0.0389	0.3207	0.135	0.0435	0.321	0.1323	0.0394	0.2581	0.1496	0.0627	0.2585	0.1477	0.061	0.2519	0.1408	0.0672
0.707070707070707	0.3189	0.1315	0.0382	0.325	0.1317	0.0387	0.3187	0.1277	0.0394	0.2626	0.1454	0.0648	0.2595	0.1451	0.061	0.2532	0.1405	0.061
0.808080808080808	0.3166	0.1295	0.0383	0.3158	0.1261	0.0336	0.319	0.1317	0.0347	0.2598	0.1411	0.0591	0.261	0.1436	0.0581	0.2542	0.1394	0.0619
0.909090909090909	0.3195	0.134	0.0373	0.3231	0.1317	0.0417	0.3249	0.1328	0.0411	0.2623	0.142	0.0632	0.2647	0.1438	0.0616	0.2585	0.142	0.068
1.01010101010101	0.3196	0.1329	0.0383	0.3187	0.1313	0.0402	0.3191	0.1304	0.0417	0.2646	0.1471	0.0602	0.262	0.1446	0.0604	0.2574	0.1399	0.0644
1.11111111111111	0.3173	0.1332	0.0375	0.3204	0.1373	0.0391	0.3138	0.136	0.0361	0.2608	0.1501	0.0621	0.2574	0.1537	0.0568	0.2481	0.1471	0.0616
1.21212121212121	0.3147	0.1288	0.0405	0.3225	0.1294	0.0393	0.3256	0.1287	0.0393	0.2614	0.143	0.0632	0.2616	0.1461	0.0646	0.2526	0.1388	0.0651
1.31313131313131	0.3111	0.1358	0.0446	0.3174	0.1341	0.0455	0.3096	0.1378	0.0449	0.2616	0.1433	0.068	0.2563	0.1471	0.0657	0.245	0.1442	0.0653
1.41414141414141	0.3148	0.1284	0.0386	0.3139	0.1285	0.0373	0.3171	0.1313	0.0385	0.257	0.144	0.0616	0.2634	0.1459	0.0642	0.2481	0.1387	0.0646
1.51515151515152	0.3089	0.1273	0.0382	0.3092	0.1302	0.0383	0.3147	0.134	0.038	0.253	0.1431	0.063	0.2576	0.144	0.0606	0.2476	0.1392	0.0611
1.61616161616162	0.3144	0.1339	0.0413	0.3229	0.1305	0.0432	0.3256	0.1351	0.0434	0.2597	0.1438	0.0632	0.2603	0.1455	0.0664	0.2575	0.1383	0.0679
1.71717171717172	0.3165	0.1273	0.0421	0.3169	0.132	0.0406	0.3271	0.1336	0.0446	0.2617	0.1393	0.06	0.2687	0.1454	0.0646	0.2623	0.1378	0.0672
1.81818181818182	0.315	0.1312	0.0393	0.3223	0.128	0.0408	0.3231	0.1354	0.0394	0.2543	0.1392	0.0594	0.2621	0.1442	0.059	0.2548	0.1318	0.065
1.91919191919192	0.3244	0.1323	0.0408	0.3287	0.1355	0.0436	0.3305	0.1361	0.043	0.2631	0.1405	0.0613	0.2637	0.1432	0.0609	0.2602	0.1385	0.0669
2.02020202020202	0.3212	0.1409	0.042	0.3219	0.1404	0.0428	0.3366	0.1373	0.0441	0.2588	0.1489	0.0624	0.271	0.1461	0.0658	0.2593	0.1427	0.0673
2.12121212121212	0.3219	0.1321	0.0388	0.325	0.1329	0.0416	0.3282	0.1365	0.0408	0.2635	0.1414	0.0645	0.2663	0.141	0.0606	0.2596	0.1409	0.0643
2.22222222222222	0.3118	0.1319	0.0399	0.3191	0.1334	0.0405	0.3209	0.1337	0.0399	0.2631	0.1446	0.0583	0.2618	0.1455	0.0588	0.2594	0.1385	0.06
2.32323232323232	0.3185	0.1308	0.0426	0.315	0.1339	0.0434	0.3204	0.1348	0.044	0.2603	0.1406	0.0619	0.2654	0.1436	0.0642	0.2552	0.1363	0.0657
2.42424242424242	0.3232	0.1346	0.0402	0.3228	0.1316	0.0379	0.3288	0.1314	0.0403	0.2675	0.1425	0.0594	0.2678	0.1451	0.0588	0.2581	0.1349	0.0613
2.52525252525253	0.3173	0.1295	0.0414	0.3215	0.1336	0.0412	0.3262	0.1375	0.0409	0.2566	0.1432	0.0581	0.262	0.1487	0.0614	0.2542	0.141	0.0631
2.62626262626263	0.3243	0.1274	0.0401	0.3234	0.1332	0.0395	0.3331	0.129	0.0391	0.2629	0.1393	0.0584	0.269	0.1383	0.0574	0.257	0.135	0.0595
2.72727272727273	0.312	0.1248	0.0391	0.3142	0.1307	0.0399	0.3242	0.1304	0.042	0.2574	0.1372	0.0575	0.2637	0.1361	0.0567	0.2541	0.1298	0.0603
2.82828282828283	0.3209	0.1332	0.0414	0.3296	0.1378	0.0397	0.3251	0.1414	0.0408	0.2649	0.142	0.0605	0.2589	0.1445	0.0597	0.256	0.1399	0.0586
2.92929292929293	0.3215	0.1391	0.042	0.3308	0.141	0.0412	0.3321	0.1389	0.0408	0.2691	0.1479	0.061	0.2677	0.1486	0.0617	0.2669	0.1392	0.0627
3.03030303030303	0.3155	0.1359	0.0402	0.3199	0.1432	0.041	0.3328	0.1414	0.0416	0.262	0.1493	0.0608	0.2662	0.1441	0.0605	0.2549	0.1413	0.0626
3.13131313131313	0.3152	0.1395	0.0412	0.3249	0.1431	0.0398	0.3284	0.1399	0.0435	0.2607	0.1458	0.057	0.2582	0.1425	0.0604	0.2544	0.1395	0.0577
3.23232323232323	0.3171	0.1328	0.0383	0.3215	0.1325	0.0433	0.33	0.1367	0.0413	0.2665	0.1399	0.0582	0.2624	0.1416	0.057	0.259	0.1338	0.0601
3.33333333333333	0.3161	0.131	0.0404	0.3266	0.1344	0.0386	0.3365	0.1335	0.0407	0.2614	0.1452	0.0603	0.2618	0.1463	0.0624	0.262	0.1417	0.0616
3.43434343434343	0.3122	0.1353	0.0388	0.3219	0.1349	0.0407	0.3293	0.1342	0.0377	0.2586	0.1444	0.0624	0.2595	0.1492	0.0605	0.2546	0.1405	0.061
3.53535353535354	0.3194	0.1299	0.0398	0.3192	0.1406	0.0408	0.3254	0.142	0.0402	0.2624	0.1395	0.0594	0.2607	0.1481	0.055	0.2528	0.1455	0.0596
3.63636363636364	0.3144	0.1271	0.0404	0.3237	0.1327	0.0422	0.3255	0.1335	0.0431	0.2563	0.1396	0.0591	0.258	0.1392	0.0603	0.2537	0.1346	0.059
3.73737373737374	0.3162	0.1271	0.038	0.3308	0.1332	0.0393	0.3321	0.1368	0.0405	0.2617	0.1378	0.0604	0.2648	0.1411	0.0592	0.2632	0.1379	0.058
3.83838383838384	0.3244	0.1354	0.0389	0.3354	0.1355	0.0368	0.3361	0.1388	0.038	0.2653	0.139	0.0556	0.2687	0.1412	0.0578	0.2628	0.136	0.0558
3.93939393939394	0.3196	0.1278	0.0396	0.3247	0.1372	0.0405	0.3255	0.1371	0.0409	0.2611	0.1389	0.0609	0.2624	0.141	0.057	0.2561	0.1414	0.0603
4.04040404040404	0.3218	0.1303	0.0456	0.322	0.137	0.0439	0.334	0.1358	0.0443	0.2674	0.1378	0.0582	0.2743	0.1381	0.0596	0.2622	0.1322	0.0583
4.14141414141414	0.3177	0.1392	0.0437	0.3267	0.1405	0.0453	0.3344	0.138	0.0407	0.2635	0.1425	0.0615	0.2679	0.1444	0.06	0.2625	0.1362	0.0613
4.24242424242424	0.3226	0.133	0.041	0.3359	0.1346	0.0434	0.3404	0.1364	0.0413	0.2666	0.1384	0.0571	0.2711	0.139	0.0581	0.2686	0.1348	0.0589
4.34343434343434	0.3173	0.1287	0.0421	0.3257	0.1299	0.0397	0.3308	0.1355	0.0413	0.2591	0.1373	0.0571	0.2686	0.1407	0.0584	0.2618	0.1336	0.06
4.44444444444444	0.3151	0.1372	0.0397	0.3269	0.1397	0.0402	0.335	0.1379	0.0406	0.2627	0.1456	0.0561	0.2663	0.1492	0.0534	0.2644	0.1402	0.0564
4.54545454545454	0.3209	0.1297	0.0417	0.3263	0.1397	0.044	0.3376	0.1382	0.0433	0.2609	0.142	0.0605	0.2668	0.1398	0.0585	0.2616	0.1378	0.0577
4.64646464646465	0.3188	0.1291	0.0376	0.3316	0.1342	0.0421	0.3392	0.1384	0.0392	0.2643	0.1386	0.0574	0.2657	0.1401	0.0572	0.2656	0.1329	0.0607
4.74747474747475	0.3217	0.1326	0.039	0.3333	0.1346	0.0393	0.3412	0.137	0.0416	0.2711	0.1352	0.0547	0.2715	0.1382	0.0585	0.2727	0.1318	0.0579
4.84848484848485	0.3023	0.1329	0.0414	0.3234	0.1355	0.0416	0.3324	0.1364	0.0412	0.2548	0.1396	0.0569	0.2588	0.1408	0.0584	0.2555	0.136	0.0561
4.94949494949495	0.3083	0.1394	0.0397	0.322	0.1378	0.0412	0.3303	0.1428	0.0412	0.2597	0.1421	0.0557	0.2595	0.142	0.0592	0.2599	0.1384	0.0568
5.05050505050505	0.3238	0.1314	0.0382	0.3295	0.1361	0.0394	0.3394	0.1347	0.0431	0.2608	0.1372	0.0553	0.2653	0.14	0.0553	0.2647	0.1317	0.0552
5.15151515151515	0.3238	0.1333	0.0393	0.3324	0.1403	0.0389	0.3413	0.1432	0.0418	0.2688	0.1439	0.057	0.2676	0.1462	0.056	0.2703	0.1384	0.0579
5.25252525252525	0.3182	0.1309	0.0421	0.3313	0.1344	0.0464	0.3321	0.139	0.0472	0.2643	0.1401	0.0597	0.2683	0.1414	0.0595	0.2656	0.1347	0.0611
5.35353535353535	0.3193	0.1351	0.0393	0.3326	0.1364	0.0406	0.3421	0.1459	0.0397	0.2675	0.1394	0.0584	0.2664	0.1473	0.0591	0.2637	0.138	0.0601
5.45454545454545	0.3144	0.1331	0.0355	0.3324	0.1366	0.0372	0.3401	0.1376	0.0392	0.2588	0.1361	0.0526	0.2689	0.1388	0.0531	0.2665	0.1336	0.0539
5.55555555555556	0.3155	0.1259	0.0378	0.3353	0.1296	0.0399	0.3383	0.1333	0.0395	0.2619	0.1313	0.0545	0.2643	0.1376	0.0538	0.263	0.125	0.0561
5.65656565656566	0.3237	0.1283	0.0387	0.3345	0.1328	0.04	0.3456	0.1356	0.0389	0.2651	0.1338	0.0521	0.271	0.1398	0.0527	0.2708	0.1298	0.053
5.75757575757576	0.3151	0.1369	0.037	0.3351	0.14	0.0389	0.341	0.1446	0.0403	0.2631	0.1414	0.0569	0.2671	0.1476	0.0537	0.2748	0.1404	0.0542
5.85858585858586	0.3065	0.1328	0.0396	0.3275	0.1365	0.0416	0.3381	0.1431	0.0429	0.253	0.1419	0.0573	0.2615	0.1445	0.057	0.2618	0.1349	0.056
5.95959595959596	0.3077	0.1327	0.0399	0.3321	0.1393	0.0415	0.335	0.1387	0.046	0.2555	0.1384	0.0537	0.2593	0.1394	0.0602	0.2601	0.1312	0.0582
6.06060606060606	0.3156	0.1357	0.0404	0.3374	0.1391	0.0453	0.3396	0.1422	0.0437	0.26	0.1407	0.0552	0.2693	0.1416	0.056	0.264	0.1347	0.0579
6.16161616161616	0.3177	0.1354	0.0435	0.3351	0.1442	0.0426	0.3403	0.1437	0.0416	0.2661	0.1384	0.0576	0.2667	0.142	0.0595	0.2699	0.1374	0.055
6.26262626262626	0.3152	0.1351	0.0397	0.3316	0.1363	0.0423	0.35	0.1436	0.0432	0.2605	0.1412	0.0552	0.2714	0.1439	0.0565	0.2758	0.1319	0.056
6.36363636363636	0.3198	0.138	0.0397	0.3384	0.142	0.0394	0.3528	0.1392	0.0405	0.2673	0.1444	0.0549	0.2737	0.1407	0.0576	0.2759	0.1384	0.0556
6.46464646464647	0.316	0.1347	0.0404	0.3336	0.1352	0.0399	0.3366	0.1406	0.0389	0.2651	0.1371	0.0542	0.2735	0.1406	0.055	0.2655	0.134	0.0504
6.56565656565657	0.318	0.1292	0.0389	0.3313	0.134	0.0404	0.34	0.1388	0.0402	0.2642	0.1305	0.0544	0.2661	0.1362	0.0577	0.2682	0.1298	0.0555
6.66666666666667	0.3128	0.1347	0.0424	0.3371	0.1414	0.0449	0.35	0.1404	0.0428	0.258	0.1368	0.0585	0.2695	0.1412	0.0553	0.273	0.1328	0.0534
6.76767676767677	0.3138	0.132	0.0403	0.3334	0.1336	0.0415	0.3426	0.1379	0.0402	0.2589	0.1381	0.058	0.2665	0.1426	0.0579	0.2641	0.1311	0.0553
6.86868686868687	0.3112	0.1281	0.0387	0.3319	0.1391	0.0411	0.3485	0.1373	0.041	0.2602	0.1359	0.0563	0.2704	0.1373	0.058	0.2674	0.1311	0.0537
